timestamps,video_index,fer,valence,arousal,eyebrow,blinks,yawn,smiles,pitches
0.0,1,neutral,-0.13639599084854126,0.018286533653736115,0.09053574604251853,0.22634550478090765,0.12549019607843137,0.30327868852459017,0.0
0.03333333333333333,1,surprised,0.16799800097942352,0.6284025311470032,0.08943612159665798,0.2436311533810518,0.13671875,0.3077189419540059,0.0
0.06666666666666667,1,surprised,0.16891616582870483,0.627339243888855,0.08916079168236939,0.27126914878358965,0.12156862745098039,0.31176717907981305,0.0
0.1,1,surprised,0.16790613532066345,0.6279292106628418,0.08871775917419487,0.2714282619107214,0.12840466926070038,0.30123159184898274,2303.414306640625
0.13333333333333333,1,surprised,0.16904222965240479,0.6267659664154053,0.10153794497153404,0.28431870392021097,0.1328699324351168,0.3077189419540059,2297.829833984375
0.16666666666666666,1,surprised,0.16887660324573517,0.6271034479141235,0.08074590481653543,0.28125071744562785,0.1323529288069646,0.31051005335771703,2212.31494140625
0.2,1,surprised,0.17000387609004974,0.62632155418396,0.08739172835533825,0.2570926601512299,0.12947116877818962,0.305581322352039,2207.7822265625
0.23333333333333334,1,neutral,-0.13466566801071167,0.017788060009479523,0.0967741935483871,0.26434980715070816,0.12409155498900869,0.314619503276309,2233.841552734375
0.26666666666666666,1,neutral,-0.13449198007583618,0.017652876675128937,0.08309800806967842,0.29347484822232756,0.1323529288069646,0.3044504729114895,2229.737060546875
0.3,1,neutral,-0.133506178855896,0.017502732574939728,0.076,0.26735245402065766,0.1284636110445072,0.3082336775889357,2219.20703125
0.3333333333333333,1,neutral,-0.1342412233352661,0.0178418830037117,0.084,0.24001903678846886,0.11196911196911197,0.3041052449399714,2211.47119140625
0.36666666666666664,1,surprised,0.17092052102088928,0.6249914169311523,0.09172003532447282,0.27874029743477413,0.11811023622047244,0.30278884462151395,607.4561767578125
0.4,1,surprised,0.16920074820518494,0.6263613700866699,0.088,0.2717371430913879,0.11790820688919929,0.30402631465055785,595.4307250976562
0.43333333333333335,1,neutral,-0.13380944728851318,0.01734984666109085,0.08739172835533825,0.2648640593597098,0.11067193675889328,0.3055555555555556,421.227783203125
0.4666666666666667,1,neutral,-0.13375616073608398,0.017460770905017853,0.08764940239043825,0.29362090018605347,0.10637209516619131,0.30677290836653387,414.6852722167969
0.5,1,neutral,-0.13351589441299438,0.017197974026203156,0.08433734939759036,0.2856958879186823,0.11155378486055777,0.2891566265060241,410.28070068359375
0.5333333333333333,1,neutral,-0.1341189742088318,0.017723925411701202,0.08511658316448842,0.27577718136774865,0.1062992125984252,0.29962249574216016,394.0522766113281
0.5666666666666667,1,neutral,-0.13449209928512573,0.017631836235523224,0.088,0.26365658835909594,0.11904761904761904,0.30802597293085526,257.2880554199219
0.6,1,neutral,-0.13445448875427246,0.017726726830005646,0.08,0.284944197839897,0.09850390553698271,0.3000266654815868,256.85174560546875
0.6333333333333333,1,neutral,-0.1337643265724182,0.017607517540454865,0.08502024291497975,0.2466369879154291,0.1111111111111111,0.29959514170040485,257.2608337402344
0.6666666666666666,1,neutral,-0.13501054048538208,0.017631180584430695,0.10080645161290322,0.2975354576063407,0.1067193675889328,0.31051005335771703,258.03070068359375
0.7,1,neutral,-0.13465344905853271,0.017742760479450226,0.09245674243551276,0.28961738483718225,0.10980392156862745,0.3093412435606701,257.29937744140625
0.7333333333333333,1,neutral,-0.13535451889038086,0.017644710838794708,0.09968124305336099,0.26092810826904533,0.11023622047244094,0.306798777819577,256.078857421875
